prompt_index,step_05750_fluency,step_05750_local_coherence,step_06000_fluency,step_06000_local_coherence,comparison,review_note
1,2,2,2,2,mixed,"两版都能承接修炼等级主题；Step 6000 把斗宗后续写成斗皇，出现等级倒退。"
2,2,2,2,2,tie,"两版均有联盟主题，但阵营、称谓和句法持续漂移。"
3,2,2,2,2,tie,"保持炼药主题，但炼制与丹药等词语重复过密。"
4,3,2,2,2,worse,"Step 5750 后半段动作尚可读；Step 6000 出现不成立的外貌描写。"
5,2,2,3,3,better,"Step 6000 的斗气吸收和运转关系更清楚，但末尾仍出现连续重复。"
6,2,2,2,2,tie,"两版都从寒气明显漂移到火焰或丹药，提示承接较弱。"
7,3,3,3,2,worse,"Step 5750 的人物说话与离开基本连贯；Step 6000 结尾对白破坏连贯。"
8,2,2,2,2,worse,"Step 5750 虽重复但仍围绕修炼；Step 6000 突然转向广场场景。"
9,3,3,2,2,worse,"Step 5750 保持灵魂力量与火焰动作；Step 6000 对话逻辑更混乱。"
10,2,2,1,1,worse,"Step 6000 反复生成九幽地冥蟒族，4-gram 重复率达到 0.2973。"
11,2,1,2,1,tie,"两版的动作、身体和人物关系都难以成立。"
12,3,2,2,2,worse,"Step 6000 高频重复苏千，主客体关系混乱。"
13,2,1,2,2,mixed,"Step 6000 场景衔接略好，但药老与药尘关系仍自相混乱。"
14,2,2,2,2,tie,"角色范围与提示相关，但句法和对白仍较破碎。"
15,3,3,3,3,tie,"两版都较可读；Step 6000 对危险气息与火幕的承接较自然，末句仍崩坏。"
16,2,2,2,2,tie,"领域词汇保持稳定，但因果和主语关系持续混乱。"
